player_key,name,position,team,latest_value,mean_expected_points,mean_std_points,det_selection_rate,selection_freq
328,Mohamed Salah,GK,Liverpool,136.0,17.363500529314575,4.4351215190969775,0.7567567567567568,0.05288697788697789
99,Bryan Mbeumo,FWD,Brentford,83.0,8.457344974846102,4.534968882898838,0.5405405405405406,0.03265356265356265
17,Bukayo Saka,MID,Arsenal,103.0,7.225329889358139,3.500421931024956,0.2702702702702703,0.021965601965601964
311,Trent Alexander-Arnold,DEF,Liverpool,72.0,8.538210769212167,3.3679482765188857,0.2972972972972973,0.021388206388206387
401,Alexander Isak,FWD,Newcastle United,96.0,8.471856065661154,3.7223841896942793,0.24324324324324326,0.019189189189189187
54,Morgan Rogers,FWD,Aston Villa,57.0,5.484841302589982,2.788691044887564,0.1891891891891892,0.01902948402948403
494,James Maddison,MID,Tottenham,74.0,5.3431218824619995,3.54747645798123,0.21621621621621623,0.018157248157248156
433,Morgan Gibbs-White,MID,Nottingham Forest,64.0,5.416254914618006,3.170291596455165,0.2702702702702703,0.01813267813267813
321,Cody Gakpo,MID,Liverpool,72.0,5.777230440709258,2.74831511379657,0.1891891891891892,0.01773955773955774
392,Harvey Barnes,MID,Newcastle United,59.0,5.395297450010677,2.5057891100402427,0.35135135135135137,0.01753071253071253
336,Dominik Szoboszlai,DEF,Liverpool,61.0,7.488016372773155,3.696739019657616,0.1891891891891892,0.01678132678132678
402,Jacob Murphy,MID,Newcastle United,52.0,5.825908009852581,2.768062156205223,0.1891891891891892,0.016486486486486488
447,Chris Wood,FWD,Nottingham Forest,72.0,7.549408675755634,3.466756160223849,0.1891891891891892,0.015896805896805897
491,Brennan Johnson,MID,Tottenham,62.0,4.6950792183794166,3.5948430943093714,0.16216216216216217,0.015601965601965601
177,Noni Madueke,MID,Chelsea,60.0,5.140277922178674,3.1139437895645323,0.16216216216216217,0.01531941031941032
71,Justin Kluivert,DEF,Bournemouth,60.0,5.6745133474651315,3.828861307049988,0.21621621621621623,0.014213759213759215
58,Ollie Watkins,FWD,Aston Villa,90.0,6.863284142594357,3.5687597606931734,0.24324324324324326,0.01418918918918919
327,Luis Díaz,FWD,Liverpool,75.0,8.574359944364652,3.604406114987878,0.13513513513513514,0.014164619164619165
110,Yoane Wissa,FWD,Brentford,68.0,6.809105261909407,3.234034372341021,0.21621621621621623,0.013808353808353808
182,Cole Palmer,GK,Chelsea,105.0,8.225602701884757,4.355290354794966,0.16216216216216217,0.013759213759213759
351,Erling Haaland,FWD,Manchester City,149.0,7.537232176947629,3.2307403486901674,0.1891891891891892,0.012776412776412777
422,Ola Aina,DEF,Nottingham Forest,52.0,5.032856900061653,3.229375526961389,0.10810810810810811,0.012076167076167077
492,Dejan Kulusevski,MID,Tottenham,62.0,4.546505127025267,2.7472573625976526,0.13513513513513514,0.011805896805896806
23,Leandro Trossard,MID,Arsenal,68.0,4.294673846094117,3.187527829035451,0.08108108108108109,0.010810810810810811
247,Alex Iwobi,DEF,Fulham,55.0,4.731356171553341,3.076367260679885,0.16216216216216217,0.010565110565110565
106,Kevin Schade,DEF,Brentford,52.0,4.435456623463019,2.996603333997409,0.10810810810810811,0.010343980343980343
16,Declan Rice,MID,Arsenal,62.0,3.88536641868556,2.4043196383973116,0.13513513513513514,0.009877149877149877
