name,position,team,latest_value,expected_points,std_points,selection_freq
Alejandro Garnacho,MID,Man Utd,50,5.674368268120795,2.756809750418044,0.031
Morgan Gibbs-White,MID,Nott'm Forest,57,5.747019679971955,2.6381811916545836,0.029
Dan Burn,DEF,Newcastle,44,3.0930208378934054,2.756809750418044,0.029
Victor LindelÃ¶f,DEF,Man Utd,45,3.6202163691245253,2.5298221281347035,0.029
Marcus Rashford,MID,Man Utd,84,5.7986460248695,2.7129319932501073,0.026
Callum Hudson-Odoi,MID,Nott'm Forest,47,2.980681124261697,3.8262252939417984,0.026
Leandro Trossard,MID,Arsenal,65,2.935267580979868,4.127953488110059,0.025
Darwin NÃºÃ±ez Ribeiro,FWD,Liverpool,75,4.892195992351487,2.1354156504062622,0.023
Harry Maguire,DEF,Man Utd,42,1.4677681995074787,3.2,0.022
Mohamed Salah,MID,Liverpool,130,2.2536133334148185,4.317406628984581,0.022
Erling Haaland,FWD,Man City,144,4.081530950443746,2.33238075793812,0.022
Pedro Porro,DEF,Spurs,58,3.047193007762909,2.6076809620810595,0.022
Jean-Philippe Mateta,FWD,Crystal Palace,49,4.558571902538441,2.3323807579381204,0.021
Daniel MuÃ±oz,DEF,Crystal Palace,45,3.5186635670602713,2.4819347291981715,0.021
Malo Gusto,DEF,Chelsea,42,3.4593039000553985,2.3151673805580453,0.02
Reece Burke,DEF,Luton,40,2.819681149094077,2.6381811916545836,0.02
Gabriel Martinelli Silva,MID,Arsenal,77,3.3528563811125878,3.7202150475476548,0.02
James Maddison,MID,Spurs,80,4.778392696802819,2.9257477676655586,0.019
VladimÃ­r Coufal,DEF,West Ham,46,3.408410298705534,2.4,0.019
Dejan Kulusevski,MID,Spurs,68,4.529832416389829,2.85657137141714,0.018
Carlton Morris,FWD,Luton,52,2.963935705941086,2.939387691339814,0.018
Enes Ãnal,FWD,Bournemouth,50,3.617992320018511,2.5298221281347035,0.017
SaÅ¡a LukiÄ,MID,Fulham,43,5.21927154470413,2.6832815729997477,0.017
Thiago Emiliano da Silva,DEF,Chelsea,50,1.466360142895436,3.0983866769659336,0.014
Mykhailo Mudryk,MID,Chelsea,63,4.758528036150006,2.727636339397171,0.012
Jan Paul van Hecke,DEF,Brighton,41,2.8468777022818177,2.449489742783178,0.012
Guglielmo Vicario,GK,Spurs,53,4.01908452124234,1.5491933384829666,0.011
Emiliano MartÃ­nez Romero,GK,Aston Villa,53,3.5204499257363375,1.7888543819998317,0.011
Martin Dubravka,GK,Newcastle,42,2.777937106359763,2.4166091947189146,0.011
Destiny Udogie,DEF,Spurs,50,3.243808720286722,2.039607805437114,0.01
Joe Gomez,DEF,Liverpool,46,2.8646917227679802,2.0976176963403033,0.009
David Raya Martin,GK,Arsenal,50,2.1581063468902513,2.5298221281347035,0.009
Kurt Zouma,DEF,West Ham,45,1.8708306754212807,2.870540018881465,0.009
Jonny Evans,DEF,Man Utd,40,3.2694750725194326,2.0976176963403033,0.008
Lucas Digne,DEF,Aston Villa,46,1.8869324382528911,2.5298221281347035,0.008
RaphaÃ«l Varane,DEF,Man Utd,49,3.1552367391868006,2.039607805437114,0.008
Cauley Woodrow,FWD,Luton,43,1.6745789490310772,2.9257477676655586,0.007
Sam Johnstone,GK,Crystal Palace,44,2.598431179606477,2.0591260281974,0.007
Danny Ings,FWD,West Ham,56,1.5642222793665208,2.727636339397171,0.007
Kyle Walker,DEF,Man City,54,2.3337479182140193,2.4819347291981715,0.007
Sven Botman,DEF,Newcastle,45,1.831549189680967,2.6381811916545836,0.007
Pervis EstupiÃ±Ã¡n,DEF,Brighton,49,2.233577779696277,2.244994432064365,0.007
Gustavo Hamer,MID,Sheffield Utd,49,4.453624823897102,2.3323807579381204,0.007
Pablo Sarabia,MID,Wolves,47,3.122875798441341,3.1240998703626617,0.006
JosÃ© Malheiro de SÃ¡,GK,Wolves,50,2.2898516140423193,2.280350850198276,0.006
Chris Mepham,DEF,Bournemouth,43,2.151976183589725,2.5298221281347035,0.006
Joel Ward,DEF,Crystal Palace,45,2.383445578178428,2.039607805437114,0.005
Enzo FernÃ¡ndez,MID,Chelsea,48,5.089958637925572,2.4,0.005
Eberechi Eze,MID,Crystal Palace,60,2.083286953836513,3.1240998703626617,0.004
Pape Matar Sarr,MID,Spurs,44,3.6882322413155775,2.5768197453450252,0.004
Jacob Murphy,MID,Newcastle,48,4.860727051630362,2.1354156504062622,0.004
Tino Livramento,DEF,Newcastle,41,2.243622951244506,2.5298221281347035,0.004
Felipe Augusto de Almeida Monteiro,DEF,Nott'm Forest,44,0.9021276292143231,2.6076809620810595,0.003
Amadou Onana,MID,Everton,47,2.0232973218710657,2.870540018881465,0.003
Edson Ãlvarez VelÃ¡zquez,MID,West Ham,50,2.0306796689958557,3.1240998703626617,0.003
Ryan Christie,MID,Bournemouth,50,4.583991038227406,2.4000000000000004,0.003
Craig Dawson,DEF,Wolves,45,1.3771436605601464,2.4819347291981715,0.003
Moussa NiakhatÃ©,DEF,Nott'm Forest,45,0.7640555408843407,2.4,0.003
RÃºben Gato Alves Dias,DEF,Man City,55,1.890324774564571,2.4,0.002
Taiwo Awoniyi,FWD,Nott'm Forest,63,1.7384909352468243,2.5768197453450252,0.002
Murillo Santiago Costa dos Santos,DEF,Nott'm Forest,45,2.5091003463424184,2.227105745132009,0.002
Nathan AkÃ©,DEF,Man City,51,2.3447156183205964,1.9595917942265422,0.002
Kaoru Mitoma,MID,Brighton,64,0.9161558954437429,3.487119154832539,0.002
Luis DÃ­az,MID,Liverpool,75,4.2577747565424495,2.5612496949731396,0.001
Tahith Chong,MID,Luton,47,3.617691810338033,2.481934729198171,0.001
Luke Berry,MID,Luton,46,2.5092638079299308,2.244994432064365,0.001
Raheem Sterling,MID,Chelsea,69,2.764937917133984,2.7276363393971716,0.001
Cameron Archer,FWD,Sheffield Utd,42,0.8992001228616577,2.8000000000000003,0.001
Danny Welbeck,FWD,Brighton,57,1.4254249690500629,2.3151673805580453,0.001
Justin Kluivert,MID,Bournemouth,46,3.493503283240248,2.3323807579381204,0.001
Joe Willock,MID,Newcastle,53,3.176223676204477,2.227105745132009,0.001
Toti AntÃ³nio Gomes,DEF,Wolves,44,2.2669870537629704,1.8547236990991407,0.001
Milos Kerkez,DEF,Bournemouth,44,2.1128090798242565,2.33238075793812,0.001
Victor da Silva,DEF,Burnley,44,2.8098287443228016,1.6,0.001
Jordan Pickford,GK,Everton,46,2.4124540743489917,1.469693845669907,0.001
Joachim Andersen,DEF,Crystal Palace,47,2.4976937244086863,1.8547236990991407,0.001
Nuno Varela Tavares,DEF,Nott'm Forest,40,0.665757344105727,2.4,0.001
NÃ©lson Cabral Semedo,DEF,Wolves,45,2.339467671286162,1.624807680927192,0.001
Yoane Wissa,FWD,Brentford,56,3.3465381666321443,1.9390719429665317,0.001
Ben Doak,MID,Liverpool,43,6.796352677589264e-12,0.0,0.0
Ben Godfrey,DEF,Everton,43,1.1421406167113552,0.4898979485566356,0.0
Ben Greenwood,DEF,Bournemouth,40,0.0,0.0,0.0
Ben Jackson,DEF,Brighton,40,0.0,0.0,0.0
Ben Johnson,DEF,West Ham,44,0.6273005181026896,0.4,0.0
Ben Mee,DEF,Brentford,48,0.25228383207429916,0.4,0.0
Ben Osborn,MID,Sheffield Utd,48,2.3497995994871013,1.3564659966250536,0.0
Ben Parkinson,FWD,Newcastle,45,2.0655449525420095e-07,0.0,0.0
Ben Pearson,MID,Bournemouth,45,0.0,0.0,0.0
BendegÃºz Bolla,DEF,Wolves,40,0.0,0.0,0.0
Benicio Baker-Boaitey,MID,Brighton,45,0.06627919548330258,0.4,0.0
