name,position,team,latest_value,expected_points,std_points,selection_freq
IshÃ© Samuels-Smith,DEF,Chelsea,40,0.0,0.0,0.0
Ismaila Coulibaly,MID,Sheffield Utd,44,0.0,0.0,0.0
Issa Diop,DEF,Fulham,44,0.22803210664874943,0.4898979485566356,0.0
Issa KaborÃ©,DEF,Luton,40,1.180401226700937,0.9797958971132713,0.0
Ivan Neves Abreu Cavaleiro,MID,Fulham,50,0.0,0.0,0.0
Ivan PeriÅ¡iÄ,DEF,Spurs,47,1.1862370805645256e-09,0.0,0.0
Ivan Toney,FWD,Brentford,82,2.0455756701904706,1.7435595774162695,0.0
Ivo Grbic,GK,Sheffield Utd,45,1.777688498248945,1.2649110640673518,0.0
Jack Cork,MID,Burnley,48,0.08126143876380243,0.4,0.0
Jack Grealish,MID,Man City,72,0.20414419072472403,0.0,0.0
Jack Harrison,MID,Everton,55,2.0457314030095386,0.4,0.0
Jack Hinshelwood,MID,Brighton,45,0.2237760076423299,0.0,0.0
Jack Walton,GK,Luton,40,0.0,0.0,0.0
Jacob Brown,FWD,Luton,49,0.0005456246946910035,0.0,0.0
Jacob Ramsey,MID,Aston Villa,59,0.919831389604163,1.8547236990991407,0.0
Jacob Wright,MID,Man City,45,0.0,0.0,0.0
Jadan Raymond,MID,Crystal Palace,45,0.0,0.0,0.0
Jaden Philogene-Bidace,MID,Aston Villa,45,2.8377441765994086e-12,0.0,0.0
Jadon Sancho,MID,Man Utd,67,6.129542308306726e-11,0.0,0.0
Jaidon Anthony,MID,Bournemouth,49,1.7639729687349228e-10,0.0,0.0
Jairo Riedewald,MID,Crystal Palace,43,2.4643657033817606e-05,0.0,0.0
Jake O'Brien,DEF,Crystal Palace,40,0.0,0.0,0.0
Jakub Moder,MID,Brighton,44,0.8920877881167211,0.7483314773547882,0.0
Jamaal Lascelles,DEF,Newcastle,39,0.23408671448285545,0.4,0.0
Jamal Lewis,DEF,Newcastle,40,0.0,0.0,0.0
Jamal Lowe,MID,Bournemouth,49,0.0,0.0,0.0
James Garner,MID,Everton,49,2.7126521346968966,1.3564659966250536,0.0
James Hill,DEF,Bournemouth,40,0.10422302716844944,0.4,0.0
James McAtee,MID,Sheffield Utd,44,2.0816207813692604,2.2449944320643644,0.0
James McConnell,MID,Liverpool,44,0.23769914736458492,0.4898979485566356,0.0
James Milner,MID,Brighton,48,0.003353944392864323,0.0,0.0
James Shea,GK,Luton,43,0.0,0.0,0.0
James Sweet,DEF,Arsenal,40,0.0,0.0,0.0
James Tarkowski,DEF,Everton,46,1.1232340573623227,0.4,0.0
James Tomkins,DEF,Crystal Palace,40,0.15356160000770067,0.4,0.0
James Trafford,GK,Burnley,45,0.6974366561026876,0.7483314773547882,0.0
James Ward-Prowse,MID,West Ham,59,1.9482485726664,1.469693845669907,0.0
James Wright,GK,Aston Villa,40,0.0,0.0,0.0
Jamie Donley,FWD,Spurs,45,8.20792325671606e-06,0.0,0.0
Jamie McDonnell,MID,Nott'm Forest,45,0.0,0.0,0.0
Japhet Tanganga,DEF,Spurs,40,0.0,0.0,0.0
Jarell Quansah,DEF,Liverpool,40,1.3877633767466326,0.8944271909999159,0.0
Jason Steele,GK,Brighton,42,0.5039030944549516,0.8,0.0
Javier Manquillo GaitÃ¡n,DEF,Newcastle,40,0.0,0.0,0.0
Jay Rodriguez,FWD,Burnley,53,0.3595739996952093,0.4898979485566356,0.0
Jay Stansfield,FWD,Fulham,45,0.0,0.0,0.0
Jayden Danns,FWD,Liverpool,44,0.16674780473612552,0.43301270189221935,0.0
Jayden Luker,MID,Luton,45,0.0,0.0,0.0
Jean-Philippe Gbamin,MID,Everton,44,0.0,0.0,0.0
Jean-Ricner Bellegarde,MID,Wolves,49,1.1249164082585255,0.4898979485566356,0.0
Jeff Hendrick,MID,Newcastle,44,0.0,0.0,0.0
Jefferson Lerma SolÃ­s,MID,Crystal Palace,47,2.1597124732513056,1.8330302779823362,0.0
Jeffrey Schlupp,MID,Crystal Palace,48,0.1053470339518555,0.0,0.0
Jenson Metcalfe,MID,Everton,45,0.0,0.0,0.0
Jeremy Sarmiento Morante,MID,Brighton,45,0.0,0.0,0.0
Jesurun Rak-Sakyi,MID,Crystal Palace,45,3.7474485175611345e-08,0.0,0.0
Jhon DurÃ¡n,FWD,Aston Villa,50,0.48206088480043635,0.4,0.0
Ji-Soo Kim,DEF,Brentford,40,0.0,0.0,0.0
Jili Buyabu,DEF,Sheffield Utd,40,0.0,0.0,0.0
Jimi Tauriainen,MID,Chelsea,45,0.0,0.0,0.0
Joe Gardner,FWD,Nott'm Forest,45,0.0,0.0,0.0
Joe Gauci,GK,Aston Villa,39,0.0,0.0,0.0
Joe Hodge,MID,Wolves,44,0.0,0.0,0.0
Joe Hugill,FWD,Man Utd,45,0.0,0.0,0.0
Joe Rodon,DEF,Spurs,40,0.0,0.0,0.0
Joe Rothwell,MID,Bournemouth,48,5.9689515072579034e-05,0.0,0.0
Joe Taylor,FWD,Luton,45,0.0,0.0,0.0
Joe White,MID,Newcastle,45,0.13770109702312958,0.4,0.0
Joe Whitworth,GK,Crystal Palace,39,0.0,0.0,0.0
Joe Worrall,DEF,Nott'm Forest,43,4.635443313514691e-05,0.0,0.0
Joel Matip,DEF,Liverpool,48,2.3906535812736013e-06,0.0,0.0
Joelinton CÃ¡ssio ApolinÃ¡rio de Lira,MID,Newcastle,58,0.100523230377363,0.0,0.0
John Egan,DEF,Sheffield Utd,43,-1.9694416826901967e-09,0.0,0.0
John Fleck,MID,Sheffield Utd,49,3.1311773536734332e-06,0.0,0.0
John McAtee,FWD,Luton,45,0.0,0.0,0.0
John McGinn,MID,Aston Villa,54,1.2527761189077053,2.4166091947189146,0.0
John-Kymani Gordon,FWD,Crystal Palace,45,0.0,0.0,0.0
Jonathan Castro Otto,DEF,Wolves,43,1.2460876092211996e-09,0.0,0.0
Jonathan Panzo,DEF,Nott'm Forest,40,0.0,0.0,0.0
Jonjo Shelvey,MID,Nott'm Forest,48,0.0,0.0,0.0
Vitalii Mykolenko,DEF,Everton,46,1.4504564762134267,0.4898979485566356,0.0
Jordan Amissah,GK,Sheffield Utd,39,0.0,0.0,0.0
Aleksandar MitroviÄ,FWD,Fulham,74,2.894985898076142e-12,0.0,0.0
Jordan Beyer,DEF,Burnley,39,0.10022685186091686,0.0,0.0
Jordan Clark,MID,Luton,48,2.0022283366434013,0.9797958971132712,0.0
Jordan Henderson,MID,Liverpool,50,0.0,0.0,0.0
Wout Weghorst,FWD,Burnley,55,0.0,0.0,0.0
Jorge Luiz Frello Filho,MID,Arsenal,53,1.512970201268275,1.019803902718557,0.0
Joseph Anang,GK,West Ham,40,0.0,0.0,0.0
Joseph Johnson,DEF,Luton,40,0.0,0.0,0.0
Josh Acheampong,DEF,Chelsea,40,0.0,0.0,0.0
Josh Bowler,MID,Nott'm Forest,45,0.0,0.0,0.0
Josh Brooking,DEF,Chelsea,40,0.0,0.0,0.0
Josh Brownhill,MID,Burnley,47,0.6161890668033047,1.3564659966250536,0.0
Josh Cullen,MID,Burnley,50,2.04791304555371,2.039607805437114,0.0
Josh Dasilva,MID,Brentford,47,0.00032189807814848046,0.0,0.0
Josh Powell,DEF,Nott'm Forest,39,0.0,0.0,0.0
Joshua Duffus,MID,Brighton,44,0.0,0.0,0.0
Joshua King,MID,Fulham,45,0.0,0.0,0.0
Wilson Odobert,MID,Burnley,50,2.7161174105377244,1.2,0.0
JoÃ£o Cancelo,DEF,Man City,58,0.0,0.0,0.0
JoÃ£o Neves VirgÃ­nia,GK,Everton,39,0.0,0.0,0.0
JoÃ£o Palhinha GonÃ§alves,MID,Fulham,50,1.3052173382602603,0.7999999999999999,0.0
JoÃ£o Pedro Junqueira de Jesus,FWD,Brighton,52,0.3263602187303303,0.0,0.0
Abdoulaye DoucourÃ©,MID,Everton,55,1.8247421490368916,1.019803902718557,0.0
JoÃ«l Veltman,DEF,Brighton,43,1.956316366672875,1.7435595774162693,0.0
JoÅ¡ko Gvardiol,DEF,Man City,48,0.004510784124216233,0.0,0.0
Julio Enciso,MID,Brighton,50,0.5915808000915287,0.4898979485566356,0.0
JuliÃ¡n Ãlvarez,FWD,Man City,65,2.669308637235118,1.469693845669907,0.0
JurriÃ«n Timber,DEF,Arsenal,46,0.0,0.0,0.0
Justin Hubner,DEF,Wolves,40,0.0,0.0,0.0
ÄorÄe PetroviÄ,GK,Chelsea,45,1.8518227914260441,1.019803902718557,0.0
JÃ©rÃ©my Doku,MID,Man City,64,1.0891979597632913,0.4,0.0
JÃ³hann Berg Gudmundsson,MID,Burnley,48,0.519456480595777,0.6324555320336759,0.0
Kacper KozÅowski,MID,Brighton,45,0.0,0.0,0.0
Kaden Rodney,MID,Crystal Palace,45,0.0,0.0,0.0
Kaelan Casey,DEF,West Ham,40,0.0,0.0,0.0
Aaron Ramsey,MID,Burnley,50,0.07889035737286898,0.4,0.0
Kaide Gordon,MID,Liverpool,45,0.0006185300350040545,0.0,0.0
Kaine Kesler-Hayden,DEF,Aston Villa,40,0.0,0.0,0.0
Kalvin Phillips,MID,West Ham,47,0.2425756434408924,0.7483314773547882,0.0
Abdul Rahman Baba,DEF,Chelsea,40,0.0,0.0,0.0
Karl Darlow,GK,Newcastle,40,0.0,0.0,0.0
Karl Hein,GK,Arsenal,40,0.0,0.0,0.0
Keane Lewis-Potter,MID,Brentford,47,1.5610421858526966,1.7204650534085253,0.0
Keinan Davis,FWD,Aston Villa,49,0.0,0.0,0.0
Kell Watts,DEF,Newcastle,40,0.0,0.0,0.0
Kenny Tete,DEF,Fulham,44,0.4932573518235715,0.4,0.0
Kepa Arrizabalaga,GK,Chelsea,50,0.0,0.0,0.0
Kevin De Bruyne,MID,Man City,106,3.0725503115484694,2.1908902300206643,0.0
Kevin Mbabu,DEF,Fulham,40,0.0,0.0,0.0
Kevin Schade,MID,Brentford,52,4.5995187004934035e-10,0.0,0.0
Ki-Jana Hoever,DEF,Wolves,40,0.0,0.0,0.0
Kieffer Moore,FWD,Bournemouth,46,0.0007475254954353963,0.0,0.0
Kieran Tierney,DEF,Arsenal,44,0.0,0.0,0.0
Kieran Trippier,DEF,Newcastle,68,1.1076784956742856,1.469693845669907,0.0
Kjell Scherpen,GK,Brighton,40,0.0,0.0,0.0
Kobbie Mainoo,MID,Man Utd,44,2.293717560348272,0.7483314773547882,0.0
Konstantinos Mavropanos,DEF,West Ham,45,0.5865497235464777,1.019803902718557,0.0
Konstantinos Tsimikas,DEF,Liverpool,45,0.4493169465578203,0.4898979485566356,0.0
Kortney Hause,DEF,Aston Villa,39,0.0,0.0,0.0
Kristian Sekularac,MID,Fulham,44,0.0,0.0,0.0
Adam Davies,GK,Sheffield Utd,40,0.0,0.0,0.0
Adam Lallana,MID,Brighton,49,0.336148599741957,0.48989794855663565,0.0
Adam Smith,DEF,Bournemouth,44,1.9523588172868893,1.8547236990991407,0.0
Lawrence Vigouroux,GK,Burnley,39,0.0,0.0,0.0
Leander Dendoncker,MID,Aston Villa,49,0.10064935476600327,0.0,0.0
Adam Webster,DEF,Brighton,42,0.2424002525926605,0.4898979485566356,0.0
Leigh Kavanagh,DEF,Brighton,40,0.0,0.0,0.0
Leo Castledine,MID,Chelsea,45,0.0,0.0,0.0
Adam Wharton,MID,Crystal Palace,50,2.1887747937881996,0.4898979485566356,0.0
Leon Chiwome,FWD,Wolves,45,0.0,0.0,0.0
Lesley Ugochukwu,MID,Chelsea,44,0.00011909341514667337,0.0,0.0
Levi Colwill,DEF,Chelsea,47,0.8372792910326285,0.7483314773547882,0.0
Adama TraorÃ©,MID,Fulham,49,1.6354382514971157,2.4,0.0
Lewis Dobbin,MID,Everton,45,0.7627412925693959,0.4898979485566356,0.0
Ademola Ola-Adebomi,FWD,Crystal Palace,45,0.0,0.0,0.0
Lewis Hall,DEF,Newcastle,42,0.0009149243265541305,0.0,0.0
Lewis Koumas,FWD,Liverpool,45,0.0,0.0,0.0
Lewis Miley,MID,Newcastle,45,3.562313131376353,0.9797958971132712,0.0
Lewis O'Brien,MID,Nott'm Forest,49,0.0,0.0,0.0
Lewis Orford,MID,West Ham,45,0.0,0.0,0.0
Lisandro MartÃ­nez,DEF,Man Utd,47,0.02261639552907428,0.0,0.0
Lloyd Kelly,DEF,Bournemouth,45,0.1466103865160595,0.4,0.0
Lorenz Assignon,DEF,Burnley,40,1.061019394569529,1.019803902718557,0.0
Loris Karius,GK,Newcastle,39,0.13372733682379717,0.4,0.0
Louie Marsh,FWD,Sheffield Utd,45,0.0,0.0,0.0
Louie Watson,MID,Luton,44,0.0,0.0,0.0
LoÃ¯c Mbe Soh,DEF,Nott'm Forest,40,0.0,0.0,0.0
Luc De Fougerolles,DEF,Fulham,39,0.0,0.0,0.0
Luca Barrington,MID,Brighton,45,0.0,0.0,0.0
Luca Koleosho,MID,Burnley,48,0.10000408172205759,0.0,0.0
Lucas BergstrÃ¶m,GK,Chelsea,39,0.0,0.0,0.0
Admiral Muskwe,FWD,Luton,45,0.0,0.0,0.0
Lucas Tolentino Coelho de Lima,MID,West Ham,60,2.586159052497886,1.9595917942265426,0.0
AdriÃ¡n San Miguel del Castillo,GK,Liverpool,39,0.0,0.0,0.0
Luis Sinisterra,MID,Bournemouth,55,0.7867459657097886,0.4898979485566356,0.0
Lukasz Fabianski,GK,West Ham,42,0.10023603898681614,0.0,0.0
Aidan Francis-Clarke,DEF,Luton,40,0.0,0.0,0.0
Luke Chambers,DEF,Liverpool,40,0.0,0.0,0.0
Luke Cundle,MID,Wolves,45,0.0,0.0,0.0
Luke Freeman,MID,Luton,49,0.0,0.0,0.0
Luke Harris,MID,Fulham,45,9.046830931624835e-11,0.0,0.0
Luke McNally,DEF,Burnley,40,0.0,0.0,0.0
Luke Plange,FWD,Crystal Palace,45,0.0,0.0,0.0
Luke Shaw,DEF,Man Utd,52,0.11537781538882558,0.4,0.0
Luke Thomas,DEF,Sheffield Utd,40,0.0002620125392288119,0.0,0.0
Lyle Foster,FWD,Burnley,47,0.34993373785636306,0.4,0.0
Mackenzie Hunt,MID,Everton,45,0.0,0.0,0.0
Mads Bech SÃ¸rensen,DEF,Brentford,40,0.0,0.0,0.0
Mads Bidstrup,MID,Brentford,45,0.0,0.0,0.0
Mads Juel Andersen,DEF,Luton,39,1.688625442640137e-05,0.0,0.0
Albert Sambi Lokonga,MID,Luton,49,0.1545656344169346,0.8,0.0
Mahamadou Susoho,MID,Man City,45,0.0,0.0,0.0
Mahmoud Dahoud,MID,Brighton,48,4.428157494111158e-06,0.0,0.0
Malang Sarr,DEF,Chelsea,43,0.0,0.0,0.0
Malcolm Ebiowei,MID,Crystal Palace,44,0.0,0.0,0.0
Alejo VÃ©liz,FWD,Spurs,54,0.0008501837210840609,0.0,0.0
Manor Solomon,MID,Spurs,51,4.0997243130596145e-09,0.0,0.0
Aaron Cresswell,DEF,West Ham,42,0.5442665953500727,0.4898979485566356,0.0
Manuel Benson Hedilazio,MID,Burnley,52,0.18934947870646524,0.4898979485566356,0.0
Marc Cucurella Saseta,DEF,Chelsea,48,0.6002080044510137,0.4,0.0
Marc GuÃ©hi,DEF,Crystal Palace,42,0.003839393134367324,0.0,0.0
Marcelo de AraÃºjo Pitaluga Filho,GK,Liverpool,40,0.0,0.0,0.0
Marcos Senesi,DEF,Bournemouth,46,0.8729543084995879,0.4898979485566356,0.0
Marcus Bettinelli,GK,Chelsea,40,-0.00012872318976231892,0.0,0.0
Marcus Oliveira Alencar,MID,Arsenal,45,0.0,0.0,0.0
Alex Matos,MID,Chelsea,45,4.920973629046712e-09,0.0,0.0
Marcus Tavernier,MID,Bournemouth,54,2.339698286307246,0.4,0.0
Marek RodÃ¡k,GK,Fulham,39,-1.8093661862975883e-11,0.0,0.0
Mario Lemina,MID,Wolves,49,2.1529905062495347,0.6324555320336759,0.0
Mark Flekken,GK,Brentford,45,2.273421501144396,0.8,0.0
Mark Gillespie,GK,Newcastle,39,0.0,0.0,0.0
Mark OâMahony,FWD,Brighton,45,0.0,0.0,0.0
Mark Travers,GK,Bournemouth,40,0.0,0.0,0.0
Alex Mighten,MID,Nott'm Forest,44,0.0,0.0,0.0
Alex Murphy,DEF,Newcastle,39,3.756679392569859e-07,0.0,0.0
Marvelous Nakamba,MID,Luton,43,2.209110715152095e-06,0.0,0.0
Mason Burstow,FWD,Chelsea,45,1.7636769474410356e-10,0.0,0.0
Mason Holgate,DEF,Sheffield Utd,40,-0.35944634265072833,1.7435595774162693,0.0
Mason Mount,MID,Man Utd,68,2.5267558271990646e-07,0.0,0.0
Mateo KovaÄiÄ,MID,Man City,47,0.8646738963869202,1.0954451150103321,0.0
Matheus FranÃ§a de Oliveira,MID,Crystal Palace,48,1.0801313467927904,2.6076809620810595,0.0
Matheus Luiz Nunes,MID,Man City,47,0.3789386505035624,1.2,0.0
Matheus Santos Carneiro Da Cunha,FWD,Wolves,55,0.4384128535723792,0.4,0.0
Mathias Jensen,MID,Brentford,54,1.587747044480675,0.4898979485566356,0.0
Mathias Jorgensen,DEF,Brentford,43,0.4415326030011852,0.6324555320336759,0.0
Matija Å arkiÄ,GK,Wolves,40,0.0,0.0,0.0
Matt Doherty,DEF,Wolves,43,0.7120964994332181,0.4,0.0
Matt Macey,GK,Luton,40,0.0,0.0,0.0
Matt Ritchie,MID,Newcastle,43,0.825936563009038,2.4,0.0
Matt Targett,DEF,Newcastle,42,3.886231336498971e-09,0.0,0.0
Matt Turner,GK,Nott'm Forest,39,0.0015615630656087196,0.0,0.0
Matthew Cox,GK,Brentford,40,0.0,0.0,0.0
Matthew Dibley-Dias,MID,Fulham,45,0.0,0.0,0.0
Matthew Whittingham,MID,Wolves,45,0.0,0.0,0.0
Matty Cash,DEF,Aston Villa,46,1.0163314961609404,0.6324555320336759,0.0
Alex Scott,MID,Bournemouth,49,1.2299179136626859,0.0,0.0
Mauro Bandeira,MID,Arsenal,45,0.0,0.0,0.0
Max Aarons,DEF,Bournemouth,44,3.6112887778245204e-06,0.0,0.0
Max Kilman,DEF,Wolves,45,1.8658048175334652,1.8547236990991407,0.0
Max Kinsey,DEF,Bournemouth,40,0.0,0.0,0.0
Max Lowe,DEF,Sheffield Utd,43,0.49655182496515055,1.9999999999999998,0.0
Maxime Esteve,DEF,Burnley,40,1.133245590964953,0.7483314773547882,0.0
Maxwel Cornet,MID,West Ham,52,0.08196318689414694,0.4,0.0
Micah Hamilton,MID,Man City,45,0.0,0.0,0.0
Michael Keane,DEF,Everton,43,0.10049815732807356,0.0,0.0
Michael Ndiweni,FWD,Newcastle,44,5.163863712072798e-07,0.0,0.0
Michael Obafemi,FWD,Burnley,49,3.528139548446858e-07,0.0,0.0
Michael Olakigbe,MID,Brentford,45,5.974900376464329e-05,0.0,0.0
Michael Olise,MID,Crystal Palace,56,0.5253297603374907,0.0,0.0
Alex Telles,DEF,Man Utd,45,0.0,0.0,0.0
MichaÅ Karbownik,DEF,Brighton,40,0.0,0.0,0.0
Micky van de Ven,DEF,Spurs,44,1.0552849944640217,0.7483314773547882,0.0
Miguel AlmirÃ³n Rejala,MID,Newcastle,61,2.351099071032621,0.4898979485566356,0.0
Mike TrÃ©sor,MID,Burnley,53,0.00033893288174711804,0.0,0.0
Mikkel Damsgaard,MID,Brentford,48,0.7118510078432868,1.469693845669907,0.0
Alexandre Moreno Lopera,DEF,Aston Villa,52,1.4144755409854366,1.019803902718557,0.0
Mohamed DrÃ¤ger,DEF,Nott'm Forest,40,0.0,0.0,0.0
Mohamed Elneny,MID,Arsenal,44,0.17675771664770523,0.4898979485566356,0.0
Alfie Dorrington,DEF,Spurs,40,0.0,0.0,0.0
Mohammed Kudus,MID,West Ham,68,2.4318316495970573,1.8330302779823362,0.0
MoisÃ©s Caicedo Corozo,MID,Chelsea,45,1.9869570582200313,1.0954451150103321,0.0
Alfie Doughty,DEF,Luton,47,1.8908537702065953,1.4966629547095764,0.0
Morgan Rogers,MID,Aston Villa,50,1.0783301937810144,0.7999999999999999,0.0
Morgan Sanson,MID,Aston Villa,45,0.0,0.0,0.0
Moussa Diaby,MID,Aston Villa,63,3.0872914609970312,1.469693845669907,0.0
Alfie Gilchrist,DEF,Chelsea,40,0.26537481178356825,0.4898979485566356,0.0
Alfie Whiteman,GK,Spurs,39,0.0,0.0,0.0
Alisson Ramses Becker,GK,Liverpool,58,0.1165531252793316,0.0,0.0
Myles Lewis-Skelly,MID,Arsenal,45,0.0,0.0,0.0
Myles Peart-Harris,MID,Brentford,45,1.60338360304354e-05,0.0,0.0
MÃ¡ximo Perrone,MID,Man City,44,0.0,0.0,0.0
Naouirou Ahamada,MID,Crystal Palace,43,0.6118865157846178,0.4,0.0
Allan Campbell,MID,Luton,49,0.0,0.0,0.0
Nathan Collins,DEF,Brentford,45,0.9333554013656549,0.48989794855663565,0.0
Nathan Fraser,FWD,Wolves,45,0.9455752662754943,0.7999999999999999,0.0
Nathan Patterson,DEF,Everton,43,0.0014683864297166819,0.0,0.0
Nathan Redmond,MID,Burnley,47,4.7430256728964054e-05,0.0,0.0
Nathaniel Clyne,DEF,Crystal Palace,43,0.0014035195198597032,0.0,0.0
Nathaniel Phillips,DEF,Liverpool,40,0.0,0.0,0.0
Nayef Aguerd,DEF,West Ham,44,0.2535488346768993,0.4898979485566356,0.0
Neal Maupay,FWD,Brentford,49,1.7641880472143934,1.9390719429665317,0.0
Neco Williams,DEF,Nott'm Forest,43,2.250687041295187,1.6733200530681511,0.0
Nick Pope,GK,Newcastle,53,7.857689957374387e-06,0.0,0.0
Allan Saint-Maximin,MID,Newcastle,60,0.0,0.0,0.0
Nicolas PÃ©pÃ©,MID,Arsenal,49,0.0,0.0,0.0
NicolÃ¡s DomÃ­nguez,MID,Nott'm Forest,50,2.2641573609900707,1.4966629547095764,0.0
NicolÃ² Zaniolo,MID,Aston Villa,54,2.7688353988209022,1.8547236990991407,0.0
Nikola VlaÅ¡iÄ,MID,West Ham,45,0.0,0.0,0.0
Noha Lemina,MID,Wolves,50,0.0,0.0,0.0
Noni Madueke,MID,Chelsea,53,0.14152939028981462,0.4,0.0
Norberto Bercique Gomes Betuncal,FWD,Everton,57,1.9954286008503581,1.3564659966250534,0.0
Altay Bayindir,GK,Man Utd,40,0.0,0.0,0.0
Amad Diallo,MID,Man Utd,44,0.13361758076751742,0.4,0.0
Amadou Diallo,MID,Newcastle,45,5.163862381355022e-07,0.0,0.0
Odsonne Edouard,FWD,Crystal Palace,54,1.0798367710363383,0.4898979485566356,0.0
Odysseas Vlachodimos,GK,Nott'm Forest,45,1.503730711509265e-06,0.0,0.0
Oleksandr Zinchenko,DEF,Arsenal,50,0.7378981276785457,0.4,0.0
Oliver Arblaster,MID,Sheffield Utd,45,1.3142896948468632,0.82915619758885,0.0
Oliver McBurnie,FWD,Sheffield Utd,54,1.0008864364061867,0.4898979485566356,0.0
Oliver Norwood,MID,Sheffield Utd,48,0.8670789893753678,0.6324555320336759,0.0
Oliver Scarles,DEF,West Ham,40,0.0,0.0,0.0
Oliver Skipp,MID,Spurs,45,0.007545922448124441,0.0,0.0
Oliwier Zych,GK,Aston Villa,40,0.0,0.0,0.0
Ollie Harrison,MID,Chelsea,45,0.0,0.0,0.0
Amara Nallo,DEF,Liverpool,40,0.0,0.0,0.0
Olu Aina,DEF,Nott'm Forest,45,0.10034395456928556,0.0,0.0
Omar Richards,DEF,Nott'm Forest,44,0.0,0.0,0.0
Omari Forson,MID,Man Utd,44,0.3562512757571435,0.4898979485566356,0.0
Omari Kellyman,MID,Aston Villa,45,0.0,0.0,0.0
Orel Mangala,MID,Nott'm Forest,50,0.10178702437533012,0.0,0.0
Oscar Bobb,MID,Man City,44,0.5826642397320314,1.16619037896906,0.0
Owen Beck,DEF,Liverpool,45,0.0006578960224733811,0.0,0.0
Owen Dodgson,DEF,Burnley,40,0.0,0.0,0.0
Owen Hesketh,MID,Wolves,45,0.0,0.0,0.0
Pablo Fornals Malla,MID,West Ham,46,0.0006878598189555305,0.0,0.0
Amari'i Bell,DEF,Luton,39,0.15403743739988277,0.4898979485566356,0.0
Ameen Al-Dakhil,DEF,Burnley,38,0.0046893013897728745,0.0,0.0
Anass Zaroury,MID,Burnley,46,0.0004642334695384148,0.0,0.0
Pau Torres,DEF,Aston Villa,46,1.4705217560270645,0.8944271909999159,0.0
Paul Dummett,DEF,Newcastle,39,3.756679392569859e-07,0.0,0.0
Pedro Lomba Neto,MID,Wolves,57,1.6450760137445377,1.4966629547095764,0.0
Andi Zeqiri,FWD,Brighton,44,0.0,0.0,0.0
Pelly Ruddock Mpanzu,MID,Luton,47,0.6611185410018333,0.4898979485566356,0.0
Andre Brooks,MID,Sheffield Utd,44,0.3692824588924184,0.4898979485566356,0.0
Andreas Hoelgebaum Pereira,MID,Fulham,53,2.9804284368740173,0.4898979485566356,0.0
Philip Billing,MID,Bournemouth,51,0.9233708991451934,0.4898979485566356,0.0
Philippe Coutinho Correia,MID,Aston Villa,58,9.932104618097927e-12,0.0,0.0
Pierre-Emerick Aubameyang,FWD,Chelsea,65,0.0,0.0,0.0
Pierre-Emile HÃ¸jbjerg,MID,Spurs,52,1.1766519103586017,0.0,0.0
Radek VÃ­tek,GK,Man Utd,40,0.0,0.0,0.0
Radu Dragusin,DEF,Spurs,42,0.5984657347778014,0.4,0.0
Andrew Omobamidele,DEF,Nott'm Forest,45,0.30177774561439974,1.019803902718557,0.0
Andrew Robertson,DEF,Liverpool,64,1.5342302243920893,1.32664991614216,0.0
Andrey Nascimento dos Santos,MID,Chelsea,42,7.689021290113331e-08,0.0,0.0
Andros Townsend,MID,Luton,50,1.2304229561537416,1.3564659966250536,0.0
RaÃºl JimÃ©nez,FWD,Fulham,50,0.7929886531332562,0.4,0.0
AndrÃ© Tavares Gomes,MID,Everton,44,0.671638134691323,0.4898979485566356,0.0
Reece James,DEF,Chelsea,53,2.752856727699092e-05,0.0,0.0
Reiss Nelson,MID,Arsenal,48,0.6030218313735038,0.4,0.0
Remi Matthews,GK,Crystal Palace,39,6.740414300208573e-06,0.0,0.0
Remo Freuler,MID,Nott'm Forest,49,0.0,0.0,0.0
Reuell Walters,DEF,Arsenal,40,0.0,0.0,0.0
Rhian Brewster,FWD,Sheffield Utd,49,0.5167748418489309,0.7483314773547882,0.0
Rhys Bennett,DEF,Man Utd,40,0.0,0.0,0.0
Rhys Norrington-Davies,DEF,Sheffield Utd,39,0.09611609449251085,0.4,0.0
Richarlison de Andrade,MID,Spurs,69,1.651285650832845,0.8944271909999159,0.0
Richie Laryea,DEF,Nott'm Forest,45,0.0,0.0,0.0
Rico Henry,DEF,Brentford,43,2.6967723492273397e-10,0.0,0.0
Rico Lewis,DEF,Man City,42,0.10126996886952723,0.0,0.0
Riyad Mahrez,MID,Man City,75,0.0,0.0,0.0
Rob Holding,DEF,Crystal Palace,43,0.0,0.0,0.0
Robert SÃ¡nchez,GK,Chelsea,45,0.10016097228926678,0.0,0.0
Robin Olsen,GK,Aston Villa,39,3.825793590237781e-11,0.0,0.0
Rodrigo Bentancur,MID,Spurs,54,0.7681651109781739,0.6324555320336759,0.0
Rodrigo Duarte Ribeiro,FWD,Nott'm Forest,45,0.0018190839949238779,0.0,0.0
Andy Lonergan,GK,Everton,39,0.0,0.0,0.0
Anel AhmedhodÅ¾iÄ,DEF,Sheffield Utd,43,0.30334731542895943,1.019803902718557,0.0
Romain Faivre,MID,Bournemouth,50,0.16395424223678556,0.4,0.0
Romelu Lukaku Bolingoli,FWD,Chelsea,68,0.0,0.0,0.0
RomÃ©o Lavia,MID,Chelsea,49,0.0002933128849152028,0.0,0.0
Ronnie Stutter,FWD,Chelsea,45,0.0,0.0,0.0
Ross Barkley,MID,Luton,50,2.8530175233961668,2.0,0.0
Angelo Ogbonna,DEF,West Ham,43,0.11281366273456096,0.4,0.0
